ensemblID	E003	E004	E005	E006	E007	E017	E021	E022	E050	E055	E056	E059	E089	E090	E094	E097	E098	E100	E109
ENSG00000128713	0	8	18	0	0	2	4	0	0	6	4	0	0	20	0	4	0	9	0
ENSG00000128714	17	11	0	0	4	5	15	11	0	7	6	14	0	0	0	8	11	13	4
ENSG00000128917	0	0	1	0	3	4	2	4	0	2	2	4	0	1	1	3	2	3	0
ENSG00000128918	7	2	3	0	3	0	3	3	0	9	0	1	7	10	7	13	0	3	4
ENSG00000129159	6	2	10	0	15	11	8	15	5	12	12	7	0	20	8	5	10	17	0
ENSG00000129757	25	5	32	35	20	26	17	36	25	22	22	13	25	36	24	22	27	6	9
ENSG00000129925	7	6	12	0	8	9	8	12	0	5	6	9	14	10	9	7	11	6	5
ENSG00000130037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000130164	5	5	13	23	8	21	6	18	12	15	16	19	25	28	11	16	20	13	9
ENSG00000130312	19	10	29	31	22	19	14	28	24	22	17	24	0	26	20	18	28	17	14
ENSG00000130589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000130595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000130635	22	6	30	41	18	39	15	43	27	33	33	14	48	46	20	31	27	18	11
ENSG00000130649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000130675	15	7	10	17	8	12	5	14	0	10	12	10	17	17	10	9	17	7	11
ENSG00000130701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0
ENSG00000130702	3	2	3	4	3	1	1	0	4	2	2	3	0	0	2	5	5	0	2
ENSG00000130724	1	1	2	3	3	0	2	3	2	0	0	0	0	1	3	3	2	0	3
ENSG00000130725	1	1	2	3	3	0	2	3	2	0	0	0	0	1	3	3	2	0	3
ENSG00000130726	1	1	4	5	1	1	0	3	1	0	0	0	3	3	5	2	2	0	8
ENSG00000130731	4	4	8	6	3	4	6	5	5	1	1	4	7	6	5	5	5	4	6
ENSG00000130787	15	6	15	26	9	20	11	17	11	23	13	18	26	19	23	15	24	22	16
ENSG00000131080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000131095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000131149	34	17	32	41	25	30	23	38	30	29	34	27	40	40	28	26	36	21	19
ENSG00000131188	7	0	7	9	5	9	5	7	0	3	3	6	10	10	8	6	8	2	6
ENSG00000131437	13	3	25	27	12	26	14	18	18	17	16	17	11	25	23	9	21	9	7
ENSG00000131748	4	0	4	5	4	6	2	6	0	7	5	5	0	0	0	3	6	3	0
ENSG00000131771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000131788	12	8	16	15	13	12	5	9	12	14	10	7	9	14	9	4	12	10	9
ENSG00000131849	4	3	0	17	9	4	4	0	0	0	0	2	6	11	14	7	15	4	22
ENSG00000131979	19	18	25	30	22	38	16	12	27	39	33	24	24	38	11	18	13	36	12
ENSG00000132139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000132170	9	7	14	16	8	15	8	9	0	13	14	9	13	15	10	11	10	10	12
ENSG00000132388	9	6	12	11	7	14	8	8	12	13	12	11	19	17	13	9	15	10	7
ENSG00000132464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000132470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000132613	14	8	22	30	9	28	10	21	17	22	23	13	25	27	11	14	15	17	14
ENSG00000132781	2	2	4	4	3	3	3	4	3	1	2	4	6	4	3	0	5	2	3
ENSG00000132793	9	6	0	13	7	0	6	6	0	0	17	14	0	0	11	11	13	14	13
ENSG00000132801	10	7	13	16	7	9	8	10	12	9	10	14	13	12	16	9	13	5	11
